first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,1,1,2,0,1,0,sov,PM,46.05,0,1,0,0,0,11,11.9,11.8771,11.8771,6.5403,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202354;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201823AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.310974 33.638683)",,,,
,2,1,3,0,1,0,sov,PM,341.75,0,1,0,0,0,13,14.6,14.6304,14.6304,7.9349,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;202495;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;201562AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.330326 33.624071)",,,,
,3,1,3,3,4,0,sov,PM,52.87,0,1,0,0,0,14,14.8,14.7548,14.7548,7.9494,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;202497;202780;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;201568AB;201564AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.330766 33.623526)",,,,
,4,1,3,1,2,0,sov,PM,45.71,0,1,0,0,0,14,14.7,14.6624,14.6624,8.0582,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202498;202495;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201550AB;201562AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.330326 33.624071)",,,,
,5,1,3,2,3,0,sov,PM,54.43,0,1,0,0,0,15,14.8,14.7868,14.7868,8.0727,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202498;202497;202780;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201550AB;201568AB;201564AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.330766 33.623526)",,,,
,6,1,4,0,1,0,sov,PM,3461.27,0,1,0,0,0,11,10.4,10.4302,10.4302,9.8951,202750;202749;202466;202488;202768;202767;202578;202608;202607;202597;202596;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201324AB;201298AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.418445 33.636825, -112.418553 33.626198)",,,,
,7,1,5,0,1,0,sov,PM,30.96,0,1,0,0,0,18,15.6,15.6299,15.6299,12.0918,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202617;202606;202909;202908;202855;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201280AB;200831AB;200947BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.452687 33.638513, -112.461442 33.638386, -112.472467 33.638364)",,,,
,8,1,6,0,1,0,sov,PM,1487.85,0,1,1,0,0,14,16.6,16.5829,16.5829,12.218,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202796;202925;202923;202926;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,9,1,8,0,1,0,sov,PM,33.37,0,1,0,0,0,6,5.9,5.9451,5.9451,3.5154,202750;202749;202748;202788;202789;202806;,201088AB;201646BA;201645BA;201090AB;201848AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.313380 33.681851)",,,,
,10,1,9,0,1,0,sov,PM,1.1,0,1,0,0,0,14,13.8,13.8339,13.8339,7.3773,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;202497;202501;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;201568AB;201563AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.341961 33.627740)",,,,
,11,1,9,1,2,0,sov,PM,1.1,0,1,0,0,0,15,13.9,13.8659,13.8659,7.5006,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202498;202497;202501;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201550AB;201568AB;201563AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.341961 33.627740)",,,,
,12,1,10,0,1,0,sov,PM,1.1,0,1,0,0,0,16,15.5,15.5413,15.5413,8.2978,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202499;202502;202512;202521;202496;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201549AB;201559AB;201560BA;201548AB;201557AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.359366 33.631134, -112.359348 33.628814)",,,,
,13,1,10,1,2,0,sov,PM,1.1,0,1,0,0,0,17,15.6,15.5733,15.5733,8.4211,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202499;202502;202512;202521;202496;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201549AB;201559AB;201560BA;201548AB;201557AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.359366 33.631134, -112.359348 33.628814)",,,,
,14,1,12,0,1,0,sov,PM,1.1,0,1,0,0,0,18,15.1,15.1123,15.1123,11.5304,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202602;202604;202730;202729;202744;202728;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201508AB;201514AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.393926 33.624102)",,,,
,15,1,14,0,1,0,sov,PM,1.1,0,1,0,0,0,15,13.2,13.1527,13.1527,10.463,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202621;202705;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201292AB;201300AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.426698 33.631545, -112.426766 33.624238)",,,,
,16,1,16,0,1,0,sov,PM,1.1,0,1,1,0,0,16,15.7,15.6915,15.6915,11.4206,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,17,1,17,0,1,0,sov,PM,1.1,0,1,1,0,0,14,14.3,14.2545,14.2545,10.0114,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202476;202480;202482;202478;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201604BA;201605AB;201597BA;201611BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.409310 33.696656, -112.409303 33.712999, -112.412297 33.724658, -112.412238 33.731975)",,,,
,18,1,19,0,1,0,sov,PM,1.1,0,1,0,0,0,12,13.1,13.0869,13.0869,7.0294,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787)",,,,
,19,1,19,1,2,0,sov,PM,1.1,0,1,0,0,0,13,13.1,13.1188,13.1188,7.1527,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202498;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201550AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787)",,,,
,20,1,602,0,1,0,sov,PM,1.1,0,1,0,0,0,18,21.2,21.1652,21.1652,13.6477,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202617;202606;202909;202908;602;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201280AB;200831AB;200917BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.452687 33.638513, -112.461442 33.638386, -112.481753 33.611509)",,,,
,21,1,615,0,1,0,sov,PM,1.1,0,1,1,0,0,15,18.2,18.2264,18.2264,11.8514,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202796;202925;202924;202825;615;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,22,1,617,0,1,0,sov,PM,1.1,0,1,1,0,0,16,17.3,17.3498,17.3498,11.5932,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202476;202480;202482;202481;202477;617;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201604BA;201605AB;201597BA;201596AB;201601BA;201602BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.409310 33.696656, -112.409303 33.712999, -112.412297 33.724658, -112.429623 33.724665, -112.437714 33.724657, -112.441006 33.733257)",,,,
,23,1,619,0,1,0,sov,PM,1.1,0,1,1,0,0,13,14.2,14.2334,14.2334,9.4615,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202476;202480;619;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201604BA;201605AB;201607BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.409310 33.696656, -112.409303 33.712999, -112.395386 33.710522)",,,,
,24,1,620,0,1,0,sov,PM,3.3,0,1,1,0,0,11,12.2,12.2436,12.2436,8.0367,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;620;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201046BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.433183 33.684132)",,,,
,25,1,621,0,1,0,sov,PM,12.77,0,1,0,0,0,17,15.1,15.072,15.072,9.6717,202750;202749;202466;202488;202768;202767;202578;202577;202575;202576;202580;202734;202735;202733;202731;202581;621;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201104AB;201338BA;201340BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.401189 33.668896, -112.415733 33.672911, -112.425654 33.670727)",,,,
,26,1,622,1,2,0,sov,PM,1.41,0,1,0,0,0,15,13.4,13.4351,13.4351,10.366,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202617;622;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201284BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.434703 33.645963)",,,,
,27,1,622,0,1,0,sov,PM,1.09,0,1,0,0,0,17,13.6,13.6022,13.6022,10.5762,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202617;202606;202615;622;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201285AB;201287BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.434326 33.645281, -112.434703 33.645963)",,,,
,28,1,623,0,1,0,sov,PM,9.55,0,1,0,0,0,16,12.7,12.674,12.674,8.4573,202750;202749;202466;202488;202768;202767;202578;202577;202575;202576;202580;202734;202735;202733;202731;623;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201104AB;201341BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.401189 33.668896, -112.402538 33.665005)",,,,
,29,1,624,0,1,0,sov,PM,1.1,0,1,0,0,0,16,13.8,13.8367,13.8367,10.5486,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202602;202604;202730;624;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201333BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.398425 33.646390)",,,,
,30,1,625,1,2,0,sov,PM,1.1,0,1,0,0,0,18,15.2,15.2174,15.2174,11.5195,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202602;202604;202730;202729;202514;625;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201518AB;201519BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.388740 33.646884, -112.391910 33.650741)",,,,
,31,1,625,0,1,0,sov,PM,6.53,0,1,0,0,0,17,15.3,15.257,15.257,10.1641,202750;202749;202466;202488;202768;202767;202578;202577;202575;202576;202580;202734;202735;202504;202515;202514;625;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201542BA;201501AB;201519BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.376931 33.653079, -112.388740 33.646884, -112.391910 33.650741)",,,,
,32,1,626,1,2,0,sov,PM,1.26,0,1,0,0,0,20,16,15.9589,15.9589,11.8571,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202602;202604;202730;202729;202511;202509;202508;626;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201517AB;201520AB;201509AB;201527BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.385342 33.638720, -112.381016 33.638649, -112.376811 33.638616, -112.376209 33.643504)",,,,
,33,1,626,0,1,0,sov,PM,1.02,0,1,0,0,0,17,17.2,17.2127,17.2127,8.9626,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202499;202502;202512;202513;202508;626;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201549AB;201559AB;201560BA;201502BA;201526BA;201527BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.368074 33.638628, -112.376811 33.638616, -112.376209 33.643504)",,,,
,34,1,626,2,3,0,sov,PM,1.02,0,1,0,0,0,18,17.2,17.2447,17.2447,9.0859,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202499;202502;202512;202513;202508;626;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201549AB;201559AB;201560BA;201502BA;201526BA;201527BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.368074 33.638628, -112.376811 33.638616, -112.376209 33.643504)",,,,
,35,1,627,0,1,0,sov,PM,1.1,0,1,0,0,0,14,15.9,15.9177,15.9177,8.3056,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202499;202525;627;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201549AB;201558BA;201490BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.367910 33.645483)",,,,
,36,1,627,1,2,0,sov,PM,1.1,0,1,0,0,0,15,15.9,15.9497,15.9497,8.4289,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202499;202525;627;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201549AB;201558BA;201490BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.367910 33.645483)",,,,
,37,1,628,0,1,0,sov,PM,1.1,0,1,0,0,0,15,13.5,13.4641,13.4641,10.3757,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202617;628;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201278BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.434767 33.631469)",,,,
,38,1,628,1,2,0,sov,PM,1.1,0,1,0,0,0,15,13.5,13.5097,13.5097,10.4247,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202621;628;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201292AB;201267BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.426698 33.631545, -112.434767 33.631469)",,,,
,39,1,633,0,1,0,sov,PM,1.1,0,1,0,0,0,16,13.6,13.6346,13.6346,10.4812,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202602;202604;202730;633;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201291BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.400922 33.631194)",,,,
