first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,2873,2137,3,1,2,0,sov,PM,1.1,0,1,1,0,0,23,21.7,21.7193,21.7193,12.0496,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202498;202495;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201568BA;201562AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.342079 33.632787, -112.330326 33.624071)",,,,
,2874,2137,8,0,1,0,sov,PM,1.65,0,1,1,0,0,22,20.7,20.7014,20.7014,13.0751,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202788;202789;202806;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201645BA;201090AB;201848AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.313380 33.681851)",,,,
,2875,2137,9,0,1,0,sov,PM,1.45,0,1,1,0,0,22,20.8,20.827,20.827,11.4459,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202501;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201563AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.341961 33.627740)",,,,
,2876,2137,10,0,1,0,sov,PM,1.1,0,1,1,0,0,24,21.4,21.372,21.372,11.6908,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202502;202512;202521;202496;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201559AB;201560BA;201548AB;201557AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.359366 33.631134, -112.359348 33.628814)",,,,
,2877,2137,12,0,1,0,sov,PM,1.1,0,1,1,0,0,21,20.5,20.4916,20.4916,11.781,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202608;202607;202586;202585;202588;202602;202604;202730;202729;202744;202728;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201508AB;201514AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.393926 33.624102)",,,,
,2878,2137,12,1,2,0,sov,PM,1.1,0,1,1,0,0,23,20.5,20.525,20.525,11.4082,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202733;202732;202619;202730;202729;202744;202728;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201103AB;201270AB;201334BA;201105AB;201508AB;201514AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.393926 33.624102)",,,,
,2879,2137,14,0,1,0,sov,PM,1.1,0,1,1,0,0,18,18.5,18.5319,18.5319,10.7137,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202608;202607;202586;202585;202588;202618;202621;202705;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201320BA;201292AB;201300AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.426698 33.631545, -112.426766 33.624238)",,,,
,2880,2137,16,0,1,0,sov,PM,1.1,0,1,0,0,0,15,16.8,16.7973,16.7973,10.2307,2137;202485;202484;202474;202475;202482;202480;202476;202809;202796;202925;202924;202825;202824;202894;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,2881,2137,17,0,1,0,sov,PM,1,0,0,0,0,0,7,6.2,6.1729,6.1729,3.4118,2137;202485;202484;202474;202475;202482;202478;,201639AB;201592AB;201614BA;201615AB;201610BA;201611BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.412238 33.731975)",,,,
,2882,2137,19,0,1,0,sov,PM,1.1,0,1,1,0,0,22,20.2,20.1757,20.1757,11.144,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202498;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201568BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.342079 33.632787)",,,,
